date_time,point_id,field,longitude,latitude,soil_moisture,easting,northing
2022-04-28 16:25:00,WP24,CAIONE1_DURUMWHEAT27,15.50832,41.49512,0.292843495,542429.0492007227,4593847.151989239
2022-04-28 16:26:00,WP25,CAIONE1_DURUMWHEAT27,15.5081,41.49503,0.3020816005,542410.7446319637,4593837.0523039615
2022-04-28 16:27:00,WP26,CAIONE1_DURUMWHEAT27,15.50795,41.49496,0.326214625,542398.2698469957,4593829.207376169
2022-04-28 16:28:00,WP27,CAIONE1_DURUMWHEAT27,15.50774,41.49489,0.2719661905,542380.7868507782,4593821.333062814
2022-04-28 16:29:00,WP28,CAIONE1_DURUMWHEAT27,15.50752,41.4948,0.2874308605,542362.4821499682,4593811.233501327
2022-04-28 16:30:00,WP29,CAIONE1_DURUMWHEAT27,15.50733,41.49474,0.278355541,542346.6619575518,4593804.479265246
2022-04-29 14:25:00,WP1,CAIONE1_DURUMWHEAT27,15.50713,41.49442,0.2479552555,542330.1763131947,4593768.855074692
2022-04-29 14:26:00,WP2,CAIONE1_DURUMWHEAT27,15.50736,41.49449,0.25920783775,542349.3288961897,4593776.739057804
2022-04-29 14:27:00,WP3,CAIONE1_DURUMWHEAT27,15.50756,41.49455,0.27046042,542365.9838492231,4593783.498198157
2022-04-29 14:28:00,WP4,CAIONE1_DURUMWHEAT27,15.50777,41.49463,0.26470186525,542383.4604346423,4593792.482670353
2022-04-29 14:28:00,WP5,CAIONE1_DURUMWHEAT27,15.50796,41.49471,0.2589433105,542399.2675775278,4593801.457378983
2022-04-29 14:29:00,WP6,CAIONE1_DURUMWHEAT27,15.50816,41.4948,0.26042873275,542415.9028560992,4593811.547223605
2022-04-29 14:29:00,WP7,CAIONE1_DURUMWHEAT27,15.50835,41.49486,0.261914155,542431.7229701463,4593818.301612115
2022-04-29 14:30:00,WP8,CAIONE1_DURUMWHEAT27,15.50859,41.49495,0.26313505,542451.6969515613,4593828.411168274
2022-04-29 14:30:00,WP9,CAIONE1_DURUMWHEAT27,15.5088,41.49502,0.264355945,542469.1798554402,4593836.2856541695
2022-04-29 14:31:00,WP10,CAIONE1_DURUMWHEAT27,15.50898,41.49511,0.263216443,542484.1455681087,4593846.365835757
2022-04-29 14:31:00,WP11,CAIONE1_DURUMWHEAT27,15.50919,41.49517,0.262076941,542501.6349309811,4593853.130204958
2022-04-29 14:32:00,WP12,CAIONE1_DURUMWHEAT27,15.50943,41.49526,0.2662686805,542521.6087197692,4593863.239956578
2022-04-29 14:32:00,WP13,CAIONE1_DURUMWHEAT27,15.50959,41.49532,0.27046042,542534.9245481398,4593869.979822019
2022-04-29 14:33:00,WP14,CAIONE1_DURUMWHEAT27,15.50982,41.4954,0.2661872875,542554.0700990475,4593878.974549479
2022-04-29 14:33:00,WP15,CAIONE1_DURUMWHEAT27,15.51003,41.49548,0.261914155,542571.5462230325,4593887.959481884
2022-04-29 14:34:00,WP16,CAIONE1_DURUMWHEAT27,15.50989,41.49567,0.261181618,542559.7361867969,4593908.984296072
2022-04-29 14:34:00,WP17,CAIONE1_DURUMWHEAT27,15.50969,41.49561,0.260449081,542543.0817009794,4593902.224703819
2022-04-29 14:35:00,WP18,CAIONE1_DURUMWHEAT27,15.50948,41.49554,0.26620763575,542525.5990364044,4593894.350036313
2022-04-29 14:35:00,WP19,CAIONE1_DURUMWHEAT27,15.50929,41.49547,0.2719661905,542509.7857139972,4593886.485243186
2022-04-29 14:36:00,WP20,CAIONE1_DURUMWHEAT27,15.50911,41.4954,0.26661460075,542494.8070482819,4593878.625399193
2022-04-29 14:36:00,WP21,CAIONE1_DURUMWHEAT27,15.50892,41.49534,0.2727801205,542478.9871247011,4593871.870870352
2022-04-29 14:37:00,WP22,CAIONE1_DURUMWHEAT27,15.50871,41.49526,0.28627101025,542461.5108491848,4593862.886163432
2022-04-29 14:37:00,WP23,CAIONE1_DURUMWHEAT27,15.50851,41.49519,0.2997619,542444.8626957122,4593855.016603702
2022-04-29 14:38:00,WP24,CAIONE1_DURUMWHEAT27,15.50832,41.49512,0.29054414275,542429.0492007227,4593847.151989239
2022-04-29 14:38:00,WP25,CAIONE1_DURUMWHEAT27,15.5081,41.49503,0.2813263855,542410.7446319637,4593837.0523039615
2022-04-29 14:39:00,WP26,CAIONE1_DURUMWHEAT27,15.50795,41.49496,0.27935260525,542398.2698469957,4593829.207376169
2022-04-29 14:39:00,WP27,CAIONE1_DURUMWHEAT27,15.50774,41.49489,0.277378825,542380.7868507782,4593821.333062814
2022-04-29 14:40:00,WP28,CAIONE1_DURUMWHEAT27,15.50752,41.4948,0.286332055,542362.4821499682,4593811.233501327
2022-04-29 14:41:00,WP29,CAIONE1_DURUMWHEAT27,15.50733,41.49474,0.295285285,542346.6619575518,4593804.479265246
2022-04-28 11:48:00,WP1,CAIONE1_DURUMWHEAT27,15.50713,41.49442,0.25418182,542330.1763131947,4593768.855074692
2022-04-28 11:49:00,WP2,CAIONE1_DURUMWHEAT27,15.50736,41.49449,0.293657425,542349.3288961897,4593776.739057804
2022-04-28 11:53:00,WP3,CAIONE1_DURUMWHEAT27,15.50756,41.49455,0.3216159205,542365.9838492231,4593783.498198157
2022-04-28 11:57:00,WP4,CAIONE1_DURUMWHEAT27,15.50777,41.49463,0.3183602005,542383.4604346423,4593792.482670353
2022-04-28 12:05:00,WP5,CAIONE1_DURUMWHEAT27,15.50796,41.49471,0.31766836,542399.2675775278,4593801.457378983
2022-04-28 12:07:00,WP6,CAIONE1_DURUMWHEAT27,15.50816,41.4948,0.31685443,542415.9028560992,4593811.547223605
2022-04-28 12:08:00,WP7,CAIONE1_DURUMWHEAT27,15.50835,41.49486,0.335330641,542431.7229701463,4593818.301612115
2022-04-28 12:09:00,WP8,CAIONE1_DURUMWHEAT27,15.50859,41.49495,0.3183602005,542451.6969515613,4593828.411168274
2022-04-28 12:13:00,WP9,CAIONE1_DURUMWHEAT27,15.5088,41.49502,0.260449081,542469.1798554402,4593836.2856541695
2022-04-28 12:15:00,WP10,CAIONE1_DURUMWHEAT27,15.50898,41.49511,0.29894797,542484.1455681087,4593846.365835757
2022-04-28 12:17:00,WP11,CAIONE1_DURUMWHEAT27,15.50919,41.49517,0.2874308605,542501.6349309811,4593853.130204958
2022-04-28 12:20:00,WP12,CAIONE1_DURUMWHEAT27,15.50943,41.49526,0.2719661905,542521.6087197692,4593863.239956578
2022-04-28 12:22:00,WP13,CAIONE1_DURUMWHEAT27,15.50959,41.49532,0.305215231,542534.9245481398,4593869.979822019
